Compound,Label,struct_file_path,gii,est_hubbard_u,est_charge_trans,ewald_energy_per_atom,maximum_MendeleevNumber,range_MendeleevNumber,avg_dev_CovalentRadius,avg_mm_dists,avg_mx_dists,avg_xx_dists
PtO2,1,../data/Structures/Insulators/PtO2_CollCode_202407.cif,0.329996674,8.948894021,11.32147282,-46.16414413,87,24,31.11111111,3.554498469,1.996249006,2.712987152
Rh2O3,1,../data/Structures/Insulators/Rh2O3_CollCode_108941.cif,0.107451374,6.255539463,12.94444751,-35.26329806,87,28,36.48,3.07391852,2.040895486,2.818668435
Rh7(PbO5)3,1,../data/Structures/Insulators/Pb3Rh7O15_CollCode_420582.cif,15.67231823,16.58232911,0.436427598,-35.01956372,87,28,37.056,3.25955698,2.018897938,2.891440774
Sm2CuO4,1,../data/Structures/Insulators/Sm2CuO4_CollCode_261377.cif,0.2021013,14.36528664,11.38391685,-28.7462902,87,64,53.87755102,6.595289662,1.957225,2.918094713
Sm2O3,1,../data/Structures/Insulators/Sm2O3_FINDSYM_CollCode_261888.cif,0.163367455,14.28040264,14.52469476,-30.44239468,87,64,63.36,3.779835147,2.46931029,3.128527315
SnO,1,../data/Structures/Insulators/SnO_CollCode_15516.cif,0.090250729,11.79603934,10.2520353,-19.54365259,87,7,36.5,3.532017709,2.2186612,2.686015819
SnO2,1,../data/Structures/Insulators/SnO2_CollCode_9163.cif,0.057472129,32.40850484,11.9922476,-44.96798678,87,7,32.44444444,3.709820422,2.054672104,2.798855532
Sr0.668La3.332Ni2O8,1,../data/Structures/Insulators/La167Sr33Ni100O400_CollCode_95582.cif,0.14930622,15.83067495,14.9033504,-28.04902877,87,79,54.85583673,6.911665275,2.060728545,2.953091226
Sr0.66La3.34Mn4O12,1,../data/Structures/Insulators/La0.835Sr0.165MnO3_LT_CollCode_56755.cif,0.14930622,14.44527231,-1.831783415,-25.93182355,87,79,50.8848,3.891484206,1.966146797,2.929880787
Sr1Ti0.5Fe0.5O3,1,../data/Structures/Insulators/Sr2FeTiO6_CollCode_184373.cif,0.14930622,16.39782939,-0.46913858,-36.56072741,87,79,50.16,3.90005,1.950025,2.757751802
Sr2.4La1.6Mn4O12,1,../data/Structures/Insulators/La0.4Sr0.6MnO3_HT_CollCode_236944.cif,0.14930622,16.00069976,7.257440483,-35.18374871,87,79,49.632,3.854192632,1.927404416,2.804882495
Sr2CrO4,1,../data/Structures/Insulators/Sr2CrO4_CollCode_245595.cif,0.322326048,18.21694488,6.198398287,-31.57004477,87,79,54.04081633,6.912755142,1.99026559,2.915266537
Sr2CrOsO6,1,../data/Structures/Insulators/Sr2CrOsO6_SD_1902477.cif,1.268783318,12.50252802,16.6463986,-39.20712386,87,79,49.08,5.543717165,1.69344,2.840194295
Sr2FeIrO6,1,../data/Structures/Insulators/Sr2FeIrO6_CollCode_4821.cif,0.14930622,11.33307625,-23.05567157,-36.64800217,87,79,47.88,3.926901939,1.974585982,2.89322362
Sr2FeOsO6,1,../data/Structures/Insulators/Sr2FeOsO6_CollCode_188946.cif,0.14930622,10.34383862,11.48080113,-36.21672127,87,79,48.24,3.938461267,1.971261834,2.855894639
Sr2La2Fe2O7.84,1,../data/Structures/Insulators/LaSrFeO4_CollCode_188895.cif,0.14930622,20.60515216,14.30546399,-27.39900416,87,79,55.01019078,6.907314589,2.04203439,2.953473413
Sr2MnO4,1,../data/Structures/Insulators/Sr2MnO4_CollCode_50794.cif,0.251895076,19.08627958,4.965246813,-32.1940279,87,79,54.04081633,6.81246671,1.927032,2.860612383
Sr2NbFeO6,1,../data/Structures/Insulators/Sr2FeNbO6_RoomT_Perovskite_CollCode_8409.cif,0.14930622,20.63714316,37.3524945,-35.83303229,87,79,50.64,3.975764546,1.993922015,2.884939111
Sr2SnO4,1,../data/Structures/Insulators/Sr2SnO4_CollCode_150387.cif,0.272823464,34.21912389,11.61134176,-30.52593235,87,79,54.04081633,6.953409677,2.046481902,3.010119585
Sr2TiO4,1,../data/Structures/Insulators/Sr2TiO4_CollCode_194713.cif,0.214121441,53.93647749,11.60656276,-31.6272123,87,79,57.46938776,6.872184942,1.9618035,2.909096684
Sr2VO4,1,../data/Structures/Insulators/Sr2VO4_CollCode_72219.cif,0.249078301,16.46766228,8.880294477,-31.89416654,87,79,56.32653061,6.84072874,1.9511558,2.885746506
Sr3WO6,1,../data/Structures/Insulators/Sr3WO6_CollCode_247338.cif,0.234132231,54.77734557,6.223374402,-38.61968828,87,79,57.96,5.847206911,1.930128513,2.926170825
Sr3Zr2O7,1,../data/Structures/Insulators/Sr3Zr2O7_CollCode_12979.cif,0.177626021,42.44218459,16.25401085,-31.9433028,87,79,58.81944444,4.128984693,2.088737989,3.122331001
Sr4.002La1.998Fe6O17.874,1,../data/Structures/Insulators/LaSr2Fe3O9_CollCode_68856.cif,0.14930622,17.91290796,5.042384732,-34.73985117,87,79,47.82561827,3.871266985,1.938430206,2.986787437
Sr8Fe8O22.45104,1,../data/Structures/Insulators/SrFeO2.8_CollCode_154931.cif,0.14930622,18.06711847,1.969969445,-31.27375045,87,79,47.37779844,3.901835,1.9509175,2.759013988
